year,energy_products,percentage
2005,Petroleum Products,23.1
2005,Natural Gas,74.4
2005,Coal,0
2005,Others,2.5
2006,Petroleum Products,19.8
2006,Natural Gas,77.8
2006,Coal,0
2006,Others,2.4
2007,Petroleum Products,18.9
2007,Natural Gas,78.7
2007,Coal,0
2007,Others,2.4
2008,Petroleum Products,17.2
2008,Natural Gas,80.3
2008,Coal,0
2008,Others,2.5
2009,Petroleum Products,16.9
2009,Natural Gas,80.6
2009,Coal,0
2009,Others,2.5
2010,Petroleum Products,20.2
2010,Natural Gas,77.2
2010,Coal,0
2010,Others,2.6
2011,Petroleum Products,19.4
2011,Natural Gas,78
2011,Coal,0
2011,Others,2.6
2012,Petroleum Products,13
2012,Natural Gas,84.3
2012,Coal,0
2012,Others,2.7
2013,Petroleum Products,4.7
2013,Natural Gas,91.8
2013,Coal,0
2013,Others,3.5
2014,Petroleum Products,0.7
2014,Natural Gas,95.4
2014,Coal,1.1
2014,Others,2.8
2015,Petroleum Products,0.7
2015,Natural Gas,95.3
2015,Coal,1.2
2015,Others,2.9
2016,Petroleum Products,0.7
2016,Natural Gas,95.2
2016,Coal,1.2
2016,Others,2.9
2017,Petroleum Products,0.7
2017,Natural Gas,95.2
2017,Coal,1.3
2017,Others,2.9
2018,Petroleum Products,0.6
2018,Natural Gas,95.4
2018,Coal,1.3
2018,Others,2.8
2019,Petroleum Products,0.4
2019,Natural Gas,95.6
2019,Coal,1.2
2019,Others,2.8
2020,Petroleum Products,0.4
2020,Natural Gas,95.8
2020,Coal,1
2020,Others,2.8
2021,Petroleum Products,0.6
2021,Natural Gas,95
2021,Coal,1.2
2021,Others,3.2
