year,sector,energy_products,consumption_ktoe
2009,Commerce and Services-related,Coal and Peat,0
2009,Commerce and Services-related,Crude Oil,0
2009,Commerce and Services-related,Electricity,1272.6
2009,Commerce and Services-related,Natural Gas,72.9
2009,Commerce and Services-related,Others,0
2009,Commerce and Services-related,Petroleum Products,78.5
2009,Households,Coal and Peat,0
2009,Households,Crude Oil,0
2009,Households,Electricity,552.9
2009,Households,Natural Gas,54
2009,Households,Others,0
2009,Households,Petroleum Products,25.3
2009,Industry-related,Coal and Peat,3
2009,Industry-related,Crude Oil,0
2009,Industry-related,Electricity,1338.8
2009,Industry-related,Natural Gas,726.4
2009,Industry-related,Others,0
2009,Industry-related,Petroleum Products,4177.7
2009,Others,Coal and Peat,0
2009,Others,Crude Oil,0
2009,Others,Electricity,35.6
2009,Others,Natural Gas,0.8
2009,Others,Others,0
2009,Others,Petroleum Products,0
2009,Transport-related,Coal and Peat,0
2009,Transport-related,Crude Oil,0
2009,Transport-related,Electricity,138.2
2009,Transport-related,Natural Gas,13.7
2009,Transport-related,Others,0
2009,Transport-related,Petroleum Products,2193.3
2010,Commerce and Services-related,Coal and Peat,0
2010,Commerce and Services-related,Crude Oil,0
2010,Commerce and Services-related,Electricity,1330.2
2010,Commerce and Services-related,Natural Gas,78.3
2010,Commerce and Services-related,Others,0
2010,Commerce and Services-related,Petroleum Products,84.2
2010,Households,Coal and Peat,0
2010,Households,Crude Oil,0
2010,Households,Electricity,570.6
2010,Households,Natural Gas,53.9
2010,Households,Others,0
2010,Households,Petroleum Products,21.7
2010,Industry-related,Coal and Peat,5.9
2010,Industry-related,Crude Oil,0
2010,Industry-related,Electricity,1518.7
2010,Industry-related,Natural Gas,974.5
2010,Industry-related,Others,0
2010,Industry-related,Petroleum Products,5465.2
2010,Others,Coal and Peat,0
2010,Others,Crude Oil,0
2010,Others,Electricity,33.1
2010,Others,Natural Gas,0.8
2010,Others,Others,0
2010,Others,Petroleum Products,0
2010,Transport-related,Coal and Peat,0
2010,Transport-related,Crude Oil,0
2010,Transport-related,Electricity,180.5
2010,Transport-related,Natural Gas,20.8
2010,Transport-related,Others,0
2010,Transport-related,Petroleum Products,2219.1
2011,Commerce and Services-related,Coal and Peat,0
2011,Commerce and Services-related,Crude Oil,0
2011,Commerce and Services-related,Electricity,1365.1
2011,Commerce and Services-related,Natural Gas,82.4
2011,Commerce and Services-related,Others,0
2011,Commerce and Services-related,Petroleum Products,68.9
2011,Households,Coal and Peat,0
2011,Households,Crude Oil,0
2011,Households,Electricity,557.4
2011,Households,Natural Gas,55.2
2011,Households,Others,0
2011,Households,Petroleum Products,24.8
2011,Industry-related,Coal and Peat,5.7
2011,Industry-related,Crude Oil,0
2011,Industry-related,Electricity,1554.4
2011,Industry-related,Natural Gas,1019.7
2011,Industry-related,Others,0
2011,Industry-related,Petroleum Products,5153.4
2011,Others,Coal and Peat,0
2011,Others,Crude Oil,0
2011,Others,Electricity,29.8
2011,Others,Natural Gas,0.8
2011,Others,Others,0
2011,Others,Petroleum Products,0
2011,Transport-related,Coal and Peat,0
2011,Transport-related,Crude Oil,0
2011,Transport-related,Electricity,191.2
2011,Transport-related,Natural Gas,25.9
2011,Transport-related,Others,0
2011,Transport-related,Petroleum Products,2366.9
2012,Commerce and Services-related,Coal and Peat,0
2012,Commerce and Services-related,Crude Oil,0
2012,Commerce and Services-related,Electricity,1407.2
2012,Commerce and Services-related,Natural Gas,82.5
2012,Commerce and Services-related,Others,0
2012,Commerce and Services-related,Petroleum Products,68.3
2012,Households,Coal and Peat,0
2012,Households,Crude Oil,0
2012,Households,Electricity,570
2012,Households,Natural Gas,56.9
2012,Households,Others,0
2012,Households,Petroleum Products,23.7
2012,Industry-related,Coal and Peat,23
2012,Industry-related,Crude Oil,0
2012,Industry-related,Electricity,1596.9
2012,Industry-related,Natural Gas,966
2012,Industry-related,Others,0
2012,Industry-related,Petroleum Products,5562
2012,Others,Coal and Peat,0
2012,Others,Crude Oil,0
2012,Others,Electricity,26.1
2012,Others,Natural Gas,0.8
2012,Others,Others,0
2012,Others,Petroleum Products,0
2012,Transport-related,Coal and Peat,0
2012,Transport-related,Crude Oil,0
2012,Transport-related,Electricity,200.2
2012,Transport-related,Natural Gas,20
2012,Transport-related,Others,0
2012,Transport-related,Petroleum Products,2292.7
2013,Commerce and Services-related,Coal and Peat,0
2013,Commerce and Services-related,Crude Oil,0
2013,Commerce and Services-related,Electricity,1437.5
2013,Commerce and Services-related,Natural Gas,89.3
2013,Commerce and Services-related,Others,0
2013,Commerce and Services-related,Petroleum Products,87.3
2013,Households,Coal and Peat,0
2013,Households,Crude Oil,0
2013,Households,Electricity,580.8
2013,Households,Natural Gas,57.5
2013,Households,Others,0
2013,Households,Petroleum Products,29.1
2013,Industry-related,Coal and Peat,129
2013,Industry-related,Crude Oil,0
2013,Industry-related,Electricity,1620.2
2013,Industry-related,Natural Gas,1145.9
2013,Industry-related,Others,0
2013,Industry-related,Petroleum Products,6225.3
2013,Others,Coal and Peat,0
2013,Others,Crude Oil,0
2013,Others,Electricity,22.6
2013,Others,Natural Gas,0.8
2013,Others,Others,0
2013,Others,Petroleum Products,0
2013,Transport-related,Coal and Peat,0
2013,Transport-related,Crude Oil,0
2013,Transport-related,Electricity,203.7
2013,Transport-related,Natural Gas,18.1
2013,Transport-related,Others,0
2013,Transport-related,Petroleum Products,2133.3
2014,Commerce and Services-related,Coal and Peat,0
2014,Commerce and Services-related,Crude Oil,0
2014,Commerce and Services-related,Electricity,1465.7
2014,Commerce and Services-related,Natural Gas,85.3
2014,Commerce and Services-related,Others,0
2014,Commerce and Services-related,Petroleum Products,78.9
2014,Households,Coal and Peat,0
2014,Households,Crude Oil,0
2014,Households,Electricity,595.4
2014,Households,Natural Gas,58.9
2014,Households,Others,0
2014,Households,Petroleum Products,24.1
2014,Industry-related,Coal and Peat,162.2
2014,Industry-related,Crude Oil,0
2014,Industry-related,Electricity,1698.5
2014,Industry-related,Natural Gas,1192.7
2014,Industry-related,Others,0
2014,Industry-related,Petroleum Products,6665.5
2014,Others,Coal and Peat,0
2014,Others,Crude Oil,0
2014,Others,Electricity,20.4
2014,Others,Natural Gas,0.8
2014,Others,Others,0
2014,Others,Petroleum Products,0
2014,Transport-related,Coal and Peat,0
2014,Transport-related,Crude Oil,0
2014,Transport-related,Electricity,209.9
2014,Transport-related,Natural Gas,17.4
2014,Transport-related,Others,0
2014,Transport-related,Petroleum Products,2199.8
2015,Commerce and Services-related,Coal and Peat,0
2015,Commerce and Services-related,Crude Oil,0
2015,Commerce and Services-related,Electricity,1503.1
2015,Commerce and Services-related,Natural Gas,88.2
2015,Commerce and Services-related,Others,0
2015,Commerce and Services-related,Petroleum Products,80
2015,Households,Coal and Peat,0
2015,Households,Crude Oil,0
2015,Households,Electricity,620.9
2015,Households,Natural Gas,59.9
2015,Households,Others,0
